"year","value"
1960,100
1965,98.1539321183339
1970,127.681194816678
1975,112.565441208622
1980,125.992338855727
1985,112.238583905352
1990,104.866573154806
1995,114.931457732451
2000,124.552306459767
2005,128.804126216033
2010,120.239151101168
2015,128.426401252705
