Year,Terrestrial carbon sink PgC/yr
1970,0.69
1971,2.65
1972,1.25
1973,2.03
1974,4.48
1975,2.75
1976,3.18
1977,1.80
1978,3.14
1979,1.56
1980,0.77
1981,2.70
1982,1.60
1983,0.33
1984,2.90
1985,2.73
1986,2.27
1987,0.47
1988,2.19
1989,3.67
1990,2.35
1991,2.10
1992,2.26
1993,3.08
1994,1.57
1995,1.87
1996,3.41
1997,3.02
1998,1.65
1999,3.58
2000,3.99
2001,2.35
2002,0.88
2003,2.49
2004,3.75
2005,2.04
2006,3.36
2007,3.18
2008,3.99
2009,3.10
2010,3.04
2011,3.98
2012,2.08
2013,3.20
2014,3.66
2015,1.50
