Year,Fpermean,Total
1900,0,99.20384
1910,-0.323923756,98.87991624
1920,-0.612726906,98.59111309
1930,-0.960451741,98.24338826
1940,-1.40379791,97.80004209
1950,-1.878023323,97.32581668
1960,-2.583346352,96.62049365
1970,-2.92675977,96.27708023
1980,-3.216583795,95.98725621
1990,-3.583709339,95.62013066
2000,-3.865089857,95.33875014
2010,-4.128824086,95.07501591
2015,-4.35240783,94.85143217
