Year,data
1999,372980
2000,492385
2001,1664167
2002,1863770
2003,2244783
2004,2362585
2005,2462437
2006,3253533
2007,4182127
2008,6427523
2009,6471917
2010,8377624
2011,8659208
2012,8793984
2013,9511249
