year,g.mean
1915,0.018003427
1920,0.020675213
1925,0.023227652
1930,0.025449573
1935,0.027370388
1940,0.029315296
1945,0.030935524
1950,0.032376661
1955,0.034496228
1960,0.035938357
1965,0.038239702
1970,0.039634731
1975,0.041598192
1980,0.042987597
1985,0.044316892
1990,0.04572604
1995,0.047102984
2000,0.048784633
2005,0.050191646
2010,0.051708958
2015,0.052986056
