Year,Primary
1177,88.9901042
1178,88.97418976
1179,88.95830512
1180,88.94236684
1181,88.92636895
1182,88.91034722
1183,88.89452219
1184,88.87871504
1185,88.86293769
1186,88.84714246
1187,88.83123398
1188,88.81539702
1189,88.79958987
1190,88.78372312
1191,88.76784444
1192,88.75212669
1193,88.73614073
1194,88.72026801
1195,88.70459199
1196,88.68886828
1197,88.67297173
1198,88.65715861
1199,88.64130974
1200,88.62551451
1201,88.61148357
1202,88.59744072
1203,88.58325481
1204,88.56918216
1205,88.55503798
1206,88.54095936
1207,88.5268569
1208,88.5127604
1209,88.49856853
1210,88.48435283
1211,88.47021461
1212,88.45611811
1213,88.44188452
1214,88.42787743
1215,88.4139359
1216,88.39988112
1217,88.38580847
1218,88.37173581
1219,88.3577168
1220,88.34358454
1221,88.32945228
1222,88.31535578
1223,88.3010745
1224,88.28697801
1225,88.27283382
1226,88.25875521
1227,88.24478388
1228,88.23080659
1229,88.21675777
1230,88.20269704
1231,88.18864822
1232,88.17474842
1233,88.16086054
1234,88.14697266
1235,88.13310266
1236,88.1192863
1237,88.1054759
1238,88.09168935
1239,88.07798624
1240,88.06430101
1241,88.05050254
1242,88.03687096
1243,88.02322149
1244,88.00970912
1245,87.99610734
1246,87.98258901
1247,87.9691124
1248,87.95566559
1249,87.94210553
1250,87.92868257
1251,87.91534901
1252,87.90199757
1253,87.88872361
1254,87.87558079
1255,87.86234856
1256,87.8492415
1257,87.83628345
1258,87.82319427
1259,87.81022429
1260,87.79725432
1261,87.78429627
1262,87.77141571
1263,87.75859475
1264,87.74576187
1265,87.73303628
1266,87.72020936
1267,87.70733476
1268,87.69462109
1269,87.68176436
1270,87.66881227
1271,87.6558423
1272,87.64297366
1273,87.63011694
1274,87.6173079
1275,87.60462999
1276,87.5918448
1277,87.57914305
1278,87.56636381
1279,87.55346537
1280,87.54082918
1281,87.52821088
1282,87.51561642
1283,87.50299811
1284,87.49040365
1285,87.4777019
1286,87.46510148
1287,87.45265603
1288,87.44017482
1289,87.42767572
1290,87.41519451
1291,87.40269542
1292,87.39036322
1293,87.37793565
1294,87.36559153
1295,87.35327721
1296,87.34089732
1297,87.32852936
1298,87.316221
1299,87.30373979
1300,87.29137778
1301,87.28070259
1302,87.26971745
1303,87.2588098
1304,87.23988533
1305,87.21747994
1306,87.19581962
1307,87.17553616
1308,87.15691566
1309,87.1401608
1310,87.12549806
1311,87.11252809
1312,87.1008873
1313,87.08997369
1314,87.07911968
1315,87.06841469
1316,87.05775738
1317,87.0472014
1318,87.03653216
1319,87.02594638
1320,87.01534867
1321,87.00478673
1322,86.99436784
1323,86.98385358
1324,86.97347641
1325,86.96315885
1326,86.95282936
1327,86.94237471
1328,86.93208098
1329,86.92170382
1330,86.91132665
1331,86.9011879
1332,86.89092994
1333,86.88056469
1334,86.87025309
1335,86.8599534
1336,86.84965968
1337,86.83953285
1338,86.82946563
1339,86.81927919
1340,86.80904508
1341,86.79882884
1342,86.78865433
1343,86.77844405
1344,86.76828742
1345,86.75815463
1346,86.74762249
1347,86.73730493
1348,86.72690392
1349,86.71672344
1350,86.70647144
1351,86.69633269
1352,86.68622375
1353,86.67600155
1354,86.66577935
1355,86.65553927
1356,86.64520979
1357,86.63486242
1358,86.62467003
1359,86.61443591
1360,86.60414219
1361,86.59396172
1362,86.58344746
1363,86.57324314
1364,86.56308651
1365,86.55306697
1366,86.54307127
1367,86.53286099
1368,86.52287126
1369,86.51288748
1370,86.50305271
1371,86.49304509
1372,86.48304343
1373,86.47304773
1374,86.46308184
1375,86.45320535
1376,86.44338846
1377,86.43336892
1378,86.42359972
1379,86.41391993
1380,86.40407324
1381,86.39428616
1382,86.38450503
1383,86.37467623
1384,86.36485934
1385,86.3550365
1386,86.34537458
1387,86.33558154
1388,86.32586598
1389,86.31628752
1390,86.30663753
