Year,Amount(constantUSD)
2001,164340294.2
2002,198524462.6
2003,94873675.98
2004,225384021.7
2005,203878805.5
2006,313169334.8
2007,88159443.08
2008,223206780.7
2009,1719263508
2010,626246401.2
2011,381107382.2
