Year,Area-corrected Mean
2001,1
2002,0.999087648
2003,0.998229994
2004,0.996659313
2005,0.995896853
2006,0.995076903
2007,0.994047318
2008,0.992918876
2009,0.991880404
2010,0.990839671
2011,0.989823888
2012,0.988715522
2013,0.9877209
2014,0.98673915
