Year,allpermean,total
1900,0,99.20384
1910,-0.124038339,99.07980166
1920,-0.231860974,98.97197903
1930,-0.364223741,98.83961626
1940,-0.532078268,98.67176173
1950,-0.70838405,98.49545595
1960,-0.975020577,98.22881942
1970,-1.099215606,98.10462439
1980,-1.204719147,97.99912085
1990,-1.33874419,97.86509581
2000,-1.442099334,97.76174067
2010,-1.541968536,97.66187146
2015,-1.627111335,97.57672867
